FunctionId,SubmitTime,RTT,InvocationDelay,ResponseDelay,FunctionDuration,ActiveFunctionsAtRequest,ActiveFunctionsAtResponse
1085,1659,1080,20.01513671875,15.016357421875,1045.9685325622559,971,999
1086,1659,1114,21.752685546875,14.62255859375,1078.6247253417969,972,999
1087,1659,1108,28.981201171875,13.52197265625,1071.4969635009766,973,999
1088,1659,1152,18.431396484375,33.266357421875,1101.3023853302002,974,999
1089,1659,1078,18.91357421875,13.86328125,1046.2231636047363,975,999
1090,1659,1137,20.26318359375,32.708984375,1085.0279331207275,976,999
1091,1659,1141,24.082275390625,33.84814453125,1089.0696048736572,977,999
1092,1660,1111,23.83984375,13.85546875,1073.3046531677246,975,999
1093,1660,1108,24.847412109375,34.35546875,1053.7972450256348,976,999
1094,1660,1120,23.218017578125,13.643798828125,1088.1383419036865,976,999
1095,1661,1129,22.74072265625,14.423583984375,1095.8356857299805,976,999
1096,1661,1128,26.191650390625,34.05810546875,1071.7501640319824,977,999
1097,1658,1128,20.548095703125,14.366455078125,1096.085548400879,978,999
1098,1661,1066,23.302001953125,13.21240234375,1033.4854125976562,977,999
1099,1661,1076,19.903564453125,14.532470703125,1041.5639877319336,977,999
1100,1658,1088,26.933349609375,13.258056640625,1053.8084506988525,978,999
1101,1658,1116,25.447265625,15.147705078125,1081.4049243927002,979,997
1102,1658,1134,26.175537109375,13.83251953125,1099.992036819458,979,999
1103,1658,1137,23.17333984375,15.4794921875,1101.3472080230713,979,999
1104,1661,1116,22.285400390625,34.39697265625,1062.3176097869873,980,998
1105,1658,1134,26.60888671875,15.04833984375,1100.3427505493164,981,999
1106,1658,1106,21.587890625,33.60693359375,1053.8053512573242,982,999
1107,1658,1119,26.142578125,15.487060546875,1083.3704471588135,980,999
1108,1662,1167,18.643310546875,34.7412109375,1113.6155128479004,981,999
1109,1662,1118,20.8193359375,14.02685546875,1085.1538181304932,978,999
1110,1662,1115,21.044189453125,33.8330078125,1062.1228218078613,979,995
1111,1658,1138,24.629638671875,14.143798828125,1105.226755142212,980,999
1112,1662,1116,20.32080078125,14.17138671875,1083.507776260376,980,996
1113,1662,1100,21.886962890625,13.902587890625,1066.2105083465576,980,999
1114,1657,1115,25.073486328125,33.168212890625,1062.758207321167,980,999
1115,1657,1117,30.352294921875,34.393798828125,1058.2537651062012,981,995
1116,1663,1141,19.44775390625,14.150390625,1107.4020862579346,981,999
1117,1663,1152,18.701904296875,33.61962890625,1099.6785163879395,982,999
1118,1663,1139,18.76318359375,14.974609375,1105.262279510498,982,999
1119,1657,1100,24.749755859375,13.830078125,1067.4200057983398,982,999
1120,1663,1105,18.541015625,33.05126953125,1053.407907485962,981,999
1121,1663,1083,20.6962890625,15.543701171875,1049.760103225708,981,999
1122,1663,1096,22.40185546875,14.38623046875,1062.2119903564453,982,999
1123,1663,1118,20.139892578125,14.022216796875,1083.8377475738525,983,999
1124,1663,1096,19.071533203125,13.89306640625,1063.035488128662,984,999
1125,1663,1125,22.05224609375,13.8564453125,1092.0913219451904,985,999
1126,1662,1077,23.432861328125,14.201416015625,1043.365716934204,986,999
1127,1662,1129,23.40380859375,13.777587890625,1095.8185195922852,987,999
1128,1664,1092,20.702392578125,13.068359375,1060.2293014526367,988,999
1129,1662,1078,23.996826171875,32.7646484375,1025.2385139465332,989,999
1130,1662,1141,21.542724609375,13.948486328125,1107.508897781372,990,999
1131,1661,1128,23.363525390625,14.43603515625,1095.2003002166748,991,999
1132,1661,1097,24.012451171875,14.09619140625,1062.8912448883057,992,999
1133,1661,1099,22.4482421875,13.54052734375,1067.0111179351807,993,999
1134,1665,1101,19.71240234375,13.452880859375,1067.8346157073975,994,999
1135,1661,1135,24.112060546875,34.447998046875,1080.4400444030762,995,999
1136,1660,1136,25.794921875,14.614501953125,1100.590705871582,996,999
1137,1660,1131,24.126708984375,16.089111328125,1095.7841873168945,997,999
1138,1660,1098,26.975830078125,15.002685546875,1061.021327972412,998,999
1139,1660,1121,23.753662109375,14.303466796875,1087.9428386688232,999,999
1140,1663,1141,21.493408203125,33.512451171875,1088.994026184082,1000,998
1141,1668,1105,19.433837890625,14.431640625,1071.134328842163,1000,998
1142,1669,1141,18.112060546875,33.300048828125,1089.587926864624,1000,999
1143,1671,1137,17.303466796875,34.296875,1085.3996276855469,1000,999
1144,1672,1142,18.018798828125,34.198974609375,1089.7822380065918,1000,999
1145,1673,1185,15.995849609375,12.91455078125,1156.0895442962646,1000,999
1146,1675,1163,21.421875,33.83642578125,1107.7418327331543,999,998
1147,1675,1105,16.482177734375,14.5322265625,1073.9855766296387,1000,999
1148,1675,1075,18.41064453125,14.758544921875,1041.8307781219482,1000,999
1149,1677,1141,18.298095703125,13.569580078125,1109.1322898864746,1000,999
1150,1688,1149,19.44140625,14.760498046875,1114.7983074188232,999,998
1151,1688,1141,18.47216796875,14.46142578125,1108.0663204193115,1000,998
1152,1689,1065,17.46923828125,14.52587890625,1033.0047607421875,1000,999
1153,1689,1078,19.049560546875,13.7744140625,1045.1760292053223,998,999
1154,1689,1140,17.007080078125,34.09228515625,1088.9008045196533,999,999
1155,1689,1105,29.71435546875,15.325439453125,1059.960126876831,1000,999
1156,1692,1108,18.868896484375,15.2080078125,1073.923110961914,1000,999
1157,1692,1095,18.389404296875,34.64892578125,1041.961669921875,1000,999
1158,1692,1142,17.881103515625,14.709228515625,1109.4098091125488,1000,999
1159,1694,1140,17.1181640625,15.975830078125,1106.9059371948242,1000,999
1160,1694,1137,23.398681640625,13.751220703125,1099.8501777648926,1000,999
1161,1698,1129,19.929931640625,34.27294921875,1074.7971534729004,1000,999
1162,1699,1087,19.0068359375,14.952880859375,1054.0401935577393,1000,999
1163,1700,1087,18.991943359375,13.697021484375,1054.3110370635986,1000,999
1164,1700,1127,18.47705078125,14.138427734375,1095.3845977783203,1000,999
1165,1701,1127,17.691650390625,14.450927734375,1094.8574542999268,1000,999
1166,1705,1137,19.32958984375,13.42919921875,1105.241060256958,999,999
1167,1705,1139,24.048095703125,14.9326171875,1100.0194549560547,1000,999
1168,1706,1126,20.134033203125,14.818603515625,1091.0472869873047,1000,999
1169,1707,1126,18.490478515625,15.232421875,1092.2770500183105,1000,999
1170,1707,1108,19.312255859375,13.79638671875,1074.8913288116455,1000,999
1171,1708,1114,17.924072265625,33.467041015625,1062.6089572906494,999,999
1172,1708,1144,18.19091796875,15.306640625,1110.5022430419922,1000,999
1173,1709,1132,18.863525390625,34.090087890625,1079.0464878082275,999,999
1174,1709,1137,18.0078125,35.298583984375,1083.693504333496,1000,999
1175,1709,1117,19.733642578125,14.331298828125,1082.934856414795,1000,999
1176,1709,1112,17.135009765625,32.56787109375,1062.2971057891846,1000,999
1177,1709,1140,19.253173828125,13.487548828125,1107.2592735290527,1000,998
1178,1710,1134,21.05419921875,33.493408203125,1079.4522762298584,1000,999
